x,y,v,p
18,90,1,star.png
18,91,1,star.png
18,92,1,star.png
18,93,1,star.png
18,94,1,star.png
18,95,1,star.png
19,81,1,star.png
19,82,1,star.png
19,91,1,star.png
19,92,1,star.png
19,93,1,star.png
19,94,1,star.png
19,95,1,star.png
20,81,1,star.png
20,82,1,star.png
20,91,1,star.png
20,92,1,star.png
20,95,1,star.png
20,96,1,star.png
21,81,1,star.png
21,82,1,star.png
21,83,1,star.png
21,84,1,star.png
21,95,1,star.png
21,96,1,star.png
21,97,1,star.png
22,83,1,star.png
22,84,1,star.png
22,96,1,star.png
22,97,1,star.png
23,83,1,star.png
23,84,1,star.png
23,96,1,star.png
23,97,1,star.png
23,98,1,star.png
24,83,1,star.png
24,84,1,star.png
24,95,1,star.png
24,96,1,star.png
24,97,1,star.png
24,98,1,star.png
25,83,1,star.png
25,84,1,star.png
25,95,1,star.png
25,96,1,star.png
25,97,1,star.png
26,83,1,star.png
26,84,1,star.png
26,95,1,star.png
26,96,1,star.png
26,97,1,star.png
27,80,1,star.png
27,81,1,star.png
27,82,1,star.png
27,83,1,star.png
27,84,1,star.png
27,96,1,star.png
27,97,1,star.png
28,80,1,star.png
28,81,1,star.png
28,82,1,star.png
28,83,1,star.png
28,84,1,star.png
28,96,1,star.png
28,97,1,star.png
28,98,1,star.png
29,80,1,star.png
29,81,1,star.png
29,97,1,star.png
29,98,1,star.png
29,100,1,star.png
29,101,1,star.png
30,80,1,star.png
30,81,1,star.png
30,97,1,star.png
30,98,1,star.png
30,99,1,star.png
30,100,1,star.png
30,101,1,star.png
30,102,1,star.png
31,80,1,star.png
31,81,1,star.png
31,98,1,star.png
31,99,1,star.png
31,101,1,star.png
31,102,1,star.png
31,103,1,star.png
32,80,1,star.png
32,81,1,star.png
32,102,1,star.png
32,103,1,star.png
33,80,1,star.png
33,81,1,star.png
33,102,1,star.png
33,103,1,star.png
33,104,1,star.png
34,80,1,star.png
34,81,1,star.png
34,82,1,star.png
34,83,1,star.png
34,103,1,star.png
34,104,1,star.png
35,82,1,star.png
35,83,1,star.png
35,103,1,star.png
35,104,1,star.png
36,82,1,star.png
36,83,1,star.png
36,102,1,star.png
36,103,1,star.png
36,104,1,star.png
37,82,1,star.png
37,83,1,star.png
37,101,1,star.png
37,102,1,star.png
37,103,1,star.png
38,82,1,star.png
38,83,1,star.png
38,100,1,star.png
38,101,1,star.png
38,102,1,star.png
39,82,1,star.png
39,83,1,star.png
39,99,1,star.png
39,100,1,star.png
39,101,1,star.png
40,82,1,star.png
40,83,1,star.png
40,98,1,star.png
40,99,1,star.png
40,100,1,star.png
41,82,1,star.png
41,83,1,star.png
41,98,1,star.png
41,99,1,star.png
42,82,1,star.png
42,83,1,star.png
42,97,1,star.png
42,98,1,star.png
42,99,1,star.png
43,82,1,star.png
43,83,1,star.png
43,97,1,star.png
43,98,1,star.png
44,82,1,star.png
44,83,1,star.png
44,96,1,star.png
44,97,1,star.png
44,98,1,star.png
45,82,1,star.png
45,96,1,star.png
45,97,1,star.png
46,81,1,star.png
46,82,1,star.png
46,96,1,star.png
46,97,1,star.png
47,81,1,star.png
47,82,1,star.png
47,96,1,star.png
47,97,1,star.png
48,81,1,star.png
48,82,1,star.png
48,95,1,star.png
48,96,1,star.png
49,81,1,star.png
49,82,1,star.png
49,95,1,star.png
49,96,1,star.png
49,172,1,star.png
49,173,1,star.png
49,174,1,star.png
49,175,1,star.png
49,176,1,star.png
49,177,1,star.png
50,81,1,star.png
50,82,1,star.png
50,95,1,star.png
50,96,1,star.png
50,170,1,star.png
50,171,1,star.png
50,172,1,star.png
50,173,1,star.png
50,174,1,star.png
50,175,1,star.png
